video_id,category,purpose_tag,stroke_label,duration_sec,kick_frequency,kick_ratio,stroke_cycle_hz,detection_rate,l_elbow_angle_mean,l_elbow_angle_std,l_elbow_angle_min,r_elbow_angle_mean,r_elbow_angle_std,r_elbow_angle_min,l_shoulder_angle_mean,l_shoulder_angle_std,l_shoulder_angle_min,r_shoulder_angle_mean,r_shoulder_angle_std,r_shoulder_angle_min,head_angle_mean,head_angle_std,head_angle_min,head_v_angle_mean,head_v_angle_std,head_v_angle_min,hip_angle_mean,hip_angle_std,hip_angle_min,body_roll_mean,body_roll_std,body_roll_min,body_roll_deg_mean,body_roll_deg_std,body_roll_deg_min,hip_roll_mean,hip_roll_std,hip_roll_min,elbow_symmetry_mean,elbow_symmetry_std,elbow_symmetry_min,shoulder_symmetry_mean,shoulder_symmetry_std,shoulder_symmetry_min,entry_angle_mean,entry_angle_std,entry_angle_min,streamline_width_mean,streamline_width_std,streamline_width_min,shoulder_width_mean,shoulder_width_std,shoulder_width_min,norm_l_wrist_x_mean,norm_l_wrist_x_std,norm_l_wrist_x_min,norm_r_wrist_x_mean,norm_r_wrist_x_std,norm_r_wrist_x_min,norm_l_wrist_y_mean,norm_l_wrist_y_std,norm_l_wrist_y_min,norm_r_wrist_y_mean,norm_r_wrist_y_std,norm_r_wrist_y_min,l_ankle_roll_std5_mean,l_ankle_roll_std5_std,l_ankle_roll_std5_min,r_ankle_roll_std5_mean,r_ankle_roll_std5_std,r_ankle_roll_std5_min
7 BENEFITS of SWIMMING You Can't IGNORE.mp4,health,health,unknown,333.5,0.729,0.1379,0.411,0.632,118.0644,52.398,1.96,121.7401,49.8016,1.93,60.9029,51.9408,0.12,63.0618,55.2424,0.23,73.3615,56.0065,1.39,35.4158,27.5356,0.02,133.8468,52.5193,0.45,0.076,0.1148,0.0,50.7509,30.9397,0.02,0.0465,0.0641,0.0001,35.0544,36.8406,0.02,29.4241,36.0032,0.0,0.1646,0.2025,0.0,0.0922,0.119,0.0001,0.1128,0.1198,0.0003,13.6131,40.3654,0.1342,13.4515,40.3879,-0.1944,13.1198,38.5471,-0.8295,13.0486,36.0457,-0.117,0.0967,0.1532,0.0,0.0966,0.1559,0.0
7 Reasons Why Swimming Is Good For Your Mental Health.mp4,health,health,unknown,394.2,0.452,0.0903,0.342,0.741,119.8436,42.0143,0.35,109.9745,43.927,0.43,24.5173,32.2203,0.64,28.4196,35.0806,0.34,109.2528,34.633,2.18,10.1307,17.6966,0.01,161.8505,36.5115,0.95,0.0268,0.0442,0.0,14.1862,22.5287,0.01,0.017,0.0294,0.0,28.5098,31.4097,0.0,10.3374,21.379,0.0,0.1563,0.1141,0.0001,0.1683,0.1081,0.0,0.1719,0.0665,0.0049,5.0591,8.2498,1.17,4.2354,8.4674,0.4813,5.8963,7.7042,0.2244,5.8472,7.5904,0.9914,0.0787,0.1531,0.0,0.0767,0.1526,0.0
99%가 모르는 70세 이상 절대 금지 운동 6가지 (병원비 1억 아끼는 법) ㅣ건강정보 ㅣ노후건강 ㅣ백세건강 ㅣ노후지혜 ㅣ.mp4,health,health,unknown,424.17,0.507,0.0843,0.345,0.806,128.0493,55.4954,2.06,119.8463,59.3314,0.43,15.4782,17.1406,0.13,16.1061,12.9649,0.41,102.023,33.1468,3.26,10.6186,12.7566,0.0,171.8915,21.8937,8.18,0.0195,0.0269,0.0,8.8198,14.5456,0.0,0.0107,0.0146,0.0,34.0766,44.7269,0.01,6.8733,10.3908,0.0,0.176,0.2431,0.0002,0.2227,0.1958,0.0002,0.1873,0.1034,0.0038,6.0956,10.7806,0.8191,5.1796,11.8648,-0.2141,6.3788,10.6183,0.9762,6.1033,10.4012,0.8,0.038,0.1161,0.0,0.0369,0.1165,0.0
Can swimming improve your mental health？ - BBC London.mp4,health,health,unknown,122.2,0.9,0.1516,0.349,0.788,104.6504,57.9478,0.36,108.2834,55.4848,2.52,37.6503,41.3953,0.12,46.0601,43.4384,0.91,104.9144,49.8069,1.68,23.3702,20.5195,0.02,111.8324,72.6964,0.4,0.0395,0.0547,0.0001,28.5816,32.4142,0.05,0.026,0.0352,0.0,33.5016,32.2825,0.06,19.7252,23.6657,0.06,0.3556,0.3937,0.0001,0.2089,0.23,0.0005,0.2018,0.154,0.0018,10.7062,25.5744,0.4137,10.1595,25.6333,-0.1435,8.4706,13.4441,0.0526,8.1918,13.7688,0.1156,0.2407,0.3362,0.0,0.2562,0.3557,0.0
"EBS명의가 알려주는 ‘어깨 통증 줄이면서’ 안전하게 운동하는 법! ｜ 배드민턴, 헬스, 수영하다 어깨 아플 때 ｜ 정형외과 이두형 교수 [아주대병원TV].mp4",health,health,unknown,448.78,0.455,0.0597,0.411,0.902,85.1721,60.4362,0.28,73.7146,57.6699,0.26,12.7163,15.5866,0.17,15.5811,16.4875,0.2,121.9423,17.0751,6.1,5.9471,6.589,0.0,173.9577,11.202,1.05,0.0181,0.0155,0.0,4.738,6.4854,0.0,0.0144,0.0124,0.0,29.3536,35.9849,0.0,8.054,14.7789,0.0,0.2743,0.1805,0.0003,0.2087,0.1817,0.0003,0.252,0.0555,0.0122,2.6299,1.8995,0.9897,1.8892,1.9929,0.0893,3.7066,2.297,0.8451,3.5378,2.496,0.5571,0.0433,0.0699,0.0,0.0431,0.0714,0.0
How To Lose Weight Swimming.mp4,health,health,unknown,485.9,0.687,0.1554,0.317,0.701,117.7041,51.6484,0.36,117.8059,50.0926,0.59,52.1095,50.0509,0.17,54.6787,50.4217,0.26,66.0507,50.6631,1.31,32.2422,25.686,0.01,138.5683,49.9431,0.98,0.0543,0.0705,0.0,44.1097,30.7815,0.05,0.0334,0.0391,0.0,38.0562,38.4327,0.0,27.5741,31.662,0.0,0.1538,0.1536,0.0,0.1003,0.1116,0.0001,0.1025,0.0904,0.0013,13.8195,26.6416,0.1832,13.592,27.1056,-0.2666,14.4763,26.4753,0.3268,14.329,26.7286,0.0085,0.1283,0.1609,0.0,0.1292,0.1647,0.0
Swim Every Day and This Will Happen to Your Body.mp4,health,health,unknown,225.33,0.683,0.1375,0.417,0.585,120.0653,53.85,1.74,120.1889,54.7905,0.99,56.7407,51.3983,0.46,59.3085,50.5379,0.67,70.6139,53.7723,1.17,32.6103,26.4237,0.04,135.9489,54.7564,0.47,0.0479,0.0533,0.0,43.5577,31.5403,0.01,0.0277,0.0282,0.0,35.5487,38.7339,0.04,27.0774,33.8809,0.06,0.2226,0.258,0.0007,0.1298,0.1579,0.0001,0.1137,0.1125,0.0005,15.5704,46.7616,0.4945,15.1483,47.3167,-0.7263,14.9926,53.9405,-0.5928,15.2567,55.6765,-0.4517,0.1414,0.2384,0.0,0.1425,0.2406,0.0
The TRUTH About The ＂Swimmer Body＂.mp4,health,health,unknown,570.15,0.777,0.1469,0.337,0.774,119.1874,55.9553,0.21,122.1156,54.3974,0.2,51.2428,52.237,0.22,53.7524,50.8906,0.23,81.6348,54.5207,0.41,25.8481,23.9587,0.01,144.2138,49.2387,0.33,0.0475,0.0618,0.0,31.8482,29.3171,0.0,0.0275,0.0351,0.0,35.4166,40.2609,0.0,23.5384,28.7891,0.0,0.2374,0.2937,0.0,0.1515,0.1552,0.0,0.128,0.0975,0.0008,10.3151,25.3372,0.2618,9.651,25.8596,-0.3663,10.7433,25.3232,-0.5681,10.5565,25.2589,-12.4718,0.1945,0.2958,0.0,0.2033,0.3096,0.0
What Happens To Your Body When You Swim ｜ Health Benefits of Swimming.mp4,health,health,unknown,333.17,0.678,0.1345,0.416,0.619,101.7811,54.9429,0.78,113.7614,47.8068,0.62,59.044,43.8721,0.33,56.6423,46.5025,0.52,77.838,52.5643,1.44,42.9044,25.2784,0.13,116.7771,55.6684,0.37,0.1282,0.1424,0.0001,59.7579,29.3752,0.04,0.0751,0.0782,0.0001,43.0354,36.2632,0.08,24.1986,22.9551,0.03,0.2417,0.4551,0.0004,0.0946,0.1039,0.0,0.1581,0.1425,0.0006,9.5614,24.8685,-0.331,9.5697,24.7574,-0.3497,11.6212,35.3948,-1.2842,11.5046,38.3371,-1.6933,0.1037,0.1967,0.0,0.1111,0.2243,0.0
What Happens To Your Body When You Swim？.mp4,health,health,unknown,297.6,0.491,0.1001,0.352,0.704,116.1381,47.4362,2.19,103.8076,54.4673,0.47,29.3135,36.3569,0.27,30.1923,38.435,0.24,90.5562,44.9023,1.09,19.4391,21.6153,0.02,161.2289,34.1033,0.61,0.0409,0.0516,0.0,29.4993,30.39,0.0,0.0244,0.028,0.0,43.381,39.7418,0.01,14.0524,22.4159,0.0,0.1201,0.1217,0.0001,0.1004,0.0886,0.0001,0.1227,0.0666,0.0005,11.0912,31.8845,0.7717,10.5187,32.3155,0.1162,11.4139,36.7606,0.2233,11.1968,36.6448,-0.5645,0.0793,0.1273,0.0,0.0779,0.1291,0.0
[건강상식] 60대 이후 건강하게 운동하는 법⧸건강상식 #허리케인동현이방송 #건강정보 #인생조언.mp4,health,health,unknown,467.97,0.731,0.1007,0.395,0.983,115.4167,46.5929,0.65,133.5389,43.3217,0.43,28.2313,38.3729,0.13,34.7656,38.7504,0.13,93.9314,40.5825,2.12,16.9746,15.9092,0.0,171.1459,16.4516,5.35,0.0283,0.0275,0.0,8.8387,10.3134,0.0,0.0267,0.0257,0.0,31.4873,35.7651,0.01,18.1931,23.9587,0.0,0.3607,0.3091,0.0002,0.2428,0.1607,0.0003,0.2054,0.0805,0.0078,3.032,1.5403,0.4005,2.0339,1.8262,-0.0561,3.5187,3.212,-0.5369,3.7428,3.3909,-0.8582,0.0476,0.0973,0.0,0.0477,0.1053,0.0
[건강정보] 나이가 많아도 수술 없이 치료할 수 있다？.mp4,health,health,unknown,24.02,0.083,0.0235,0.599,0.34,157.8912,8.1001,90.43,170.4865,18.6998,7.24,20.5594,16.3133,10.73,16.0504,16.505,1.09,28.4316,12.1564,10.64,27.3996,3.4385,5.61,170.2838,20.4842,39.19,0.0059,0.0013,0.0023,13.9682,3.1285,6.28,0.0016,0.0011,0.0001,15.2862,9.1469,0.26,5.5062,7.8928,0.14,0.0438,0.0057,0.0325,0.0718,0.0132,0.0027,0.0246,0.0034,0.0054,10.2629,8.7168,4.2454,7.4245,9.1511,1.6145,17.1796,6.9848,13.7581,17.2525,7.0306,13.6043,0.0067,0.0199,0.0,0.0063,0.0172,0.0
[노인운동] 수영으로 다친 노인 어깨의 치료법과 운동법은 무엇일까？ (KBS 20220525 방송).mp4,health,health,unknown,506.17,0.907,0.1329,0.456,0.812,111.8573,53.4842,0.48,113.3383,55.5868,0.2,27.6305,40.0741,0.16,29.919,40.0884,0.12,73.7108,45.938,0.69,20.8975,17.3933,0.0,157.9509,40.022,0.71,0.0405,0.0394,0.0,21.5661,24.0342,0.02,0.0243,0.0237,0.0,42.3231,39.1039,0.06,15.1269,20.7397,0.0,0.2861,0.26,0.0002,0.1766,0.1593,0.0001,0.1795,0.11,0.0007,10.3305,41.0522,0.2678,9.8344,42.8407,-0.9143,11.9622,41.4983,0.8431,11.7687,40.5912,0.4775,0.1016,0.1506,0.0,0.1115,0.1665,0.0
[헬스인사이드] “관절에도 감량에도 최고” ‘완벽 운동’ 수영의 단점... ⧸ 머니투데이방송.mp4,health,health,unknown,168.8,0.723,0.1593,0.303,0.645,108.5612,55.8446,1.05,105.7406,53.1622,0.45,55.2601,51.642,0.41,53.7156,51.1661,0.46,73.3747,45.6934,2.07,25.3021,23.0269,0.06,119.8343,62.632,0.27,0.0481,0.0532,0.0,32.7784,28.2575,0.01,0.0285,0.0298,0.0,36.692,34.1755,0.0,26.0577,27.604,0.01,0.2675,0.2677,0.0005,0.108,0.1239,0.0004,0.1164,0.0804,0.0012,10.302,19.2935,0.8403,10.1297,18.9485,0.3413,10.4129,27.0804,0.3303,10.2474,26.2781,0.3414,0.136,0.175,0.0,0.1374,0.1819,0.0
"걷기, 수영 보다 10배 효과적! 중년 필수 감각운동 4가지 집에서 가능.mp4",health,health,unknown,157.17,0.515,0.1092,0.411,0.621,117.2814,56.5966,0.53,121.5282,49.3325,1.1,39.2896,41.9378,0.25,42.1382,41.9714,0.5,87.6505,47.0391,0.76,16.903,19.3514,0.01,160.2943,37.5215,1.22,0.0488,0.1281,0.0,21.2566,25.0295,0.0,0.029,0.0815,0.0,33.5041,34.3614,0.01,17.0751,25.8711,0.01,0.1913,0.2532,0.0005,0.1532,0.191,0.0,0.1381,0.1453,0.002,7.4479,10.1389,-0.1858,7.3586,10.7524,0.0292,7.3222,11.3229,0.7231,7.2461,11.2945,-0.454,0.0802,0.1592,0.0,0.0832,0.1615,0.0
같은 수영수업인데 나는 왜？ #수영.mp4,health,health,unknown,70.83,0.72,0.1667,0.411,0.592,132.1556,47.6569,5.68,125.7439,46.0675,2.22,79.8296,63.7307,0.15,73.215,64.2283,0.98,66.9394,38.8339,3.74,20.3046,22.2751,0.02,117.6204,58.9346,1.15,0.0454,0.0466,0.0002,31.006,22.8026,0.15,0.0221,0.0203,0.0,25.4388,24.3351,0.13,19.35,20.275,0.06,0.1979,0.1682,0.0008,0.1646,0.1658,0.0003,0.1172,0.0979,0.0034,11.8566,17.2542,1.3767,11.0273,17.547,0.7196,10.9935,15.0233,1.7204,11.1757,15.3597,1.3896,0.0787,0.072,0.0,0.0825,0.0763,0.0
"관절 통증 걱정 없는 꽃중년 활력 스포츠, 수영! 함께 해요.mp4",health,health,unknown,193.03,0.762,0.1206,0.46,0.739,116.7019,54.4487,0.3,113.5021,51.8019,1.03,37.2293,37.729,0.35,42.7593,41.4147,0.5,87.5522,47.2306,2.1,21.8208,21.7606,0.0,142.8596,48.5881,1.45,0.062,0.0645,0.0,35.0526,30.8041,0.01,0.0338,0.0352,0.0001,45.4532,43.2801,0.0,24.6265,31.2351,0.04,0.1709,0.1856,0.0001,0.1391,0.1369,0.0001,0.1437,0.0908,0.0029,7.723,13.4043,0.4573,7.0854,13.4985,0.1592,7.0992,10.0012,-0.6363,7.0348,10.075,-0.5187,0.0937,0.1449,0.0,0.0983,0.1594,0.0
관절염 있는데 운동해도 될까요？ 의사가 노인에게 수영만큼은 적극 추천하는 이유 -  노후에 걷고 싶다면 지금 선택이 중요합니다!.mp4,health,health,unknown,502.84,1.108,0.1292,0.508,0.994,133.5901,17.1285,100.02,155.666,17.0687,40.77,10.0089,2.743,0.36,23.3308,5.5796,3.32,117.7611,2.9598,105.64,4.5241,1.3773,1.11,151.2387,22.7855,94.59,0.0222,0.0058,0.0088,7.9515,2.497,3.0,0.0095,0.0065,0.0,27.9871,15.1628,0.03,13.3621,6.2851,0.03,0.0669,0.0416,0.0,0.1676,0.034,0.0307,0.1625,0.007,0.1301,3.1697,0.1802,2.8672,2.1383,0.2538,1.1528,5.0145,0.3589,4.4902,4.4268,0.2575,3.5269,0.0738,0.0761,0.0,0.0779,0.0806,0.0
늦게 시작해도 괜찮다？ 수영의 놀라운 효과 8가지.mp4,health,health,unknown,594.0,0.657,0.1413,0.373,0.58,113.4894,57.1255,0.6,115.1583,58.2586,0.18,62.8665,57.1842,0.3,60.7777,53.6735,0.62,92.439,54.347,1.24,29.7874,28.8313,0.01,135.4639,53.6457,0.38,0.0803,0.1329,0.0,45.2993,34.8296,0.0,0.0501,0.092,0.0,34.0746,36.8011,0.02,21.7073,23.1418,0.01,0.2482,0.3376,0.0003,0.1344,0.1675,0.0,0.1463,0.1596,0.0013,10.3204,21.0927,-3.0061,9.8038,20.8961,-2.7527,9.3142,17.8562,-0.4071,9.2258,17.3881,-4.2499,0.101,0.2344,0.0,0.1076,0.2607,0.0
더 이상 미루지 마세요! 중년의 나이에 시작하기 좋은 운동 TOP7.mp4,health,health,unknown,125.63,0.931,0.1262,0.39,0.783,131.919,46.806,2.35,127.8474,47.7196,3.14,37.888,47.3673,0.16,49.1064,53.9655,0.37,73.197,51.7493,0.95,22.3891,19.0231,0.06,138.0494,51.2957,0.69,0.0346,0.0405,0.0,26.969,26.0733,0.08,0.0216,0.0188,0.0,25.3562,27.0213,0.16,20.3273,30.8758,0.01,0.2005,0.189,0.0,0.1203,0.1105,0.0,0.1058,0.0583,0.0023,9.6671,14.5067,0.1578,9.5184,14.7761,0.3514,10.0973,15.5425,-3.055,9.9589,16.8935,-2.5301,0.0819,0.0969,0.0,0.0907,0.1085,0.0
"더럽고 치사한 수영장 텃세, 오래 다닌게 훈장이냐？ - 원더풀 인생후반전.mp4",health,health,unknown,338.5,0.801,0.1268,0.47,0.843,159.4969,35.3392,0.34,162.5197,31.3913,1.7,11.0848,5.9948,1.12,12.0242,4.6804,2.04,124.1502,10.2274,29.82,1.8912,2.8243,0.0,175.4765,7.8057,19.0,0.0219,0.0118,0.0,3.87,3.0804,0.0,0.0146,0.0084,0.0,12.7968,25.9367,0.01,3.2622,4.6963,0.0,0.1019,0.1421,0.0001,0.4007,0.102,0.0008,0.3288,0.0494,0.0086,2.2337,1.7634,1.0872,1.0306,1.8233,0.2316,4.2996,1.4867,1.9622,4.2994,1.561,1.8676,0.0272,0.0745,0.0,0.0251,0.0796,0.0
몸이 예전같지 않다면？？ 50이후 건강을 결정하는 습관들 정리해봅니다..mp4,health,health,unknown,258.12,0.368,0.1305,0.332,0.363,96.9533,58.1271,0.9,94.4859,60.2464,1.42,32.4006,37.8531,0.5,35.9859,42.4268,0.19,89.6931,41.2422,2.12,20.3083,21.5006,0.03,150.8024,45.0202,0.43,0.05,0.0528,0.0002,30.6749,31.4813,0.07,0.0314,0.0347,0.0001,32.1918,33.4111,0.03,18.5593,25.1246,0.07,0.209,0.1613,0.0008,0.126,0.1371,0.0001,0.1598,0.0829,0.001,8.1511,28.6838,0.689,7.6445,29.0007,0.0117,9.3565,38.3624,0.6723,9.5033,39.1893,1.1581,0.0995,0.1435,0.0,0.1059,0.1555,0.0
무엇이든 물어보세요 - 은퇴 앞둔 중장년의 3대 고민 20160715.mp4,health,health,unknown,278.94,0.642,0.0926,0.44,0.918,116.5727,51.2561,0.3,86.0882,45.9557,0.3,8.2819,9.4111,0.18,9.6747,8.6006,0.18,113.3387,37.5427,1.62,6.0488,8.5095,0.01,174.9468,10.3717,0.54,0.0145,0.0116,0.0,4.4666,7.4539,0.01,0.0107,0.0081,0.0,41.9246,41.6186,0.0,4.2061,5.6782,0.0,0.2075,0.1169,0.0,0.1268,0.0776,0.0,0.2445,0.066,0.0143,2.9263,3.2951,-0.4572,2.4513,3.3255,-0.7636,5.0186,3.9174,0.5263,4.6458,3.8513,1.9912,0.032,0.069,0.0,0.0321,0.0703,0.0
부상으로 수영 오랫동안 못 할 수 있습니다....mp4,health,health,unknown,370.8,0.545,0.119,0.369,0.632,110.6268,56.0839,0.34,100.0933,57.2097,0.21,56.2184,52.5458,0.28,56.9386,54.9057,0.18,80.7891,50.9562,1.18,24.6656,25.6358,0.02,134.6415,58.618,0.19,0.0494,0.0625,0.0001,30.9876,29.5795,0.03,0.0305,0.0383,0.0,44.4828,46.9488,0.0,27.7652,33.0156,0.01,0.3434,0.4264,0.0001,0.1742,0.1925,0.0001,0.1635,0.1395,0.0009,11.0555,32.3941,-0.1096,10.6369,32.6757,-0.1043,10.504,24.5157,-2.9031,10.2143,24.8465,-0.2961,0.1471,0.3273,0.0,0.1506,0.3358,0.0
살 빼려고 열심히 수영했는데 오히려 더 배고팠던 이유 ｜ 수영으로 살 빼려는 분 보세요.mp4,health,health,unknown,379.05,0.789,0.0995,0.445,0.924,81.5301,56.4276,0.41,81.8981,54.4992,0.5,19.1126,17.5002,0.13,19.7003,20.0033,0.25,80.8178,38.8387,1.78,15.4365,12.8555,0.02,165.9354,32.711,0.8,0.0341,0.0361,0.0,14.1663,17.0125,0.0,0.0242,0.023,0.0,48.428,45.2771,0.01,11.5434,11.1506,0.01,0.2823,0.1564,0.0001,0.1753,0.1374,0.0001,0.1776,0.0695,0.0024,4.1461,6.5822,0.4858,3.3748,9.051,0.2324,5.3035,9.8666,-2.5081,5.3662,9.7098,-0.4254,0.0771,0.1118,0.0,0.0758,0.1157,0.0
수영 운동은 무조건 허리에 좋은 운동이 아니다？! 이동엽 원장이 알려주는 수영을 하면 안되는 유형! ｜ 참포도나무병원.mp4,health,health,unknown,274.77,0.761,0.1017,0.457,0.918,68.5188,43.7164,0.35,67.6844,46.9536,0.38,12.0798,12.0685,0.38,14.0669,8.1476,1.14,111.9892,16.6677,2.23,3.6001,5.8032,0.0,173.3395,15.1407,0.98,0.0133,0.014,0.0,3.8153,7.1965,0.0,0.0131,0.0114,0.0,32.6945,35.012,0.07,4.813,10.1424,0.0,0.3059,0.0936,0.0008,0.1611,0.0708,0.0005,0.2397,0.0322,0.0076,3.0236,2.6185,1.0535,2.3666,2.7482,0.3182,3.9305,2.2902,0.921,3.9246,2.3465,1.2388,0.043,0.0805,0.0,0.0447,0.0838,0.0
수영 운동이 건강에 좋은 이유(수영 효과 5가지).mp4,health,health,unknown,474.64,0.748,0.1458,0.403,0.64,117.0861,56.0632,0.24,111.6784,55.5703,0.43,56.8827,51.044,0.27,55.5433,52.9473,0.25,74.7019,50.9949,0.89,31.4373,25.8413,0.02,135.7762,53.4687,0.16,0.0828,0.1189,0.0,38.5633,30.4398,0.02,0.0575,0.0883,0.0,39.1555,37.7953,0.01,22.525,26.0968,0.01,0.2497,0.2809,0.0001,0.1461,0.1794,0.0,0.1503,0.1292,0.0023,8.3245,14.2515,-1.046,7.8294,14.4199,-1.2387,8.3277,15.6418,-0.6795,8.1921,15.7005,-1.1672,0.1337,0.2297,0.0,0.138,0.2431,0.0
"수영, 내 몸의 주치의： 100세 시대 건강을 지키는 7가지 의학적 이유 #수영 #100세건강 #노년운동 #의학적운동 #실버라이프.mp4",health,health,unknown,305.67,0.713,0.1271,0.402,0.643,107.9237,56.8799,0.54,106.7549,61.1162,0.27,40.8145,38.7759,0.32,38.5706,38.2632,0.26,87.7191,44.7725,2.69,20.2463,21.9506,0.01,152.1121,44.6232,0.57,0.0622,0.122,0.0,23.2178,25.4671,0.02,0.0365,0.0699,0.0,40.1549,38.445,0.01,19.0412,24.724,0.01,0.3547,0.3421,0.0001,0.2748,0.24,0.0,0.2354,0.1658,0.0011,8.6516,27.9133,0.3456,7.8011,27.8094,-0.167,7.3342,21.4976,-0.6897,7.3906,21.6459,-0.2626,0.1902,0.304,0.0,0.1953,0.3026,0.0
수영을 하면서 부상을 자주 입는 부위 세 곳과 찌릿찌릿하면서 아픈 부위를 예방할 수 있는 방법 및 스트레칭.mp4,health,health,unknown,565.67,0.728,0.133,0.381,0.641,126.656,49.8424,0.72,125.4113,52.5596,0.18,74.5683,62.003,0.31,74.2137,60.3425,0.21,65.1023,53.8218,1.14,28.5154,24.4753,0.01,135.5931,51.6006,0.3,0.0505,0.0637,0.0,40.8707,31.002,0.01,0.0309,0.0367,0.0,31.6901,35.706,0.01,24.0445,32.1349,0.01,0.2911,0.3318,0.0,0.1027,0.1403,0.0,0.1066,0.1003,0.0003,15.6036,42.2467,0.4004,15.5517,41.6552,0.047,16.6504,75.0352,-1.624,16.8628,75.0856,-0.9978,0.092,0.1388,0.0,0.0983,0.1497,0.0
수영하다 어깨 다친다고요？ 어깨부상 없이 오래수영하는법!.mp4,health,health,unknown,315.83,0.906,0.1384,0.435,0.834,131.3412,48.7268,0.66,132.3879,47.5864,1.28,52.6566,54.2516,0.49,59.7826,58.3465,0.45,80.1818,58.7451,1.21,39.2693,28.7888,0.04,145.4962,44.1479,0.75,0.0702,0.0629,0.0,49.0653,31.4176,0.02,0.0393,0.0372,0.0001,32.1606,34.6361,0.02,31.4216,41.138,0.0,0.1198,0.1369,0.0,0.182,0.1843,0.0001,0.1525,0.1284,0.0019,10.3175,17.6845,0.3319,9.8034,17.9656,0.0523,10.7854,15.9126,0.0104,10.8803,16.0851,0.6054,0.0733,0.0839,0.0,0.076,0.088,0.0
수영할 때 앞쪽 어깨가 아프신 분들!🏊🏻‍🏊🏻_ 찬물chanmul.mp4,health,health,unknown,362.19,1.096,0.1368,0.451,0.97,87.9218,59.7014,0.31,87.2275,62.3986,0.22,30.4359,38.6573,0.16,38.8262,39.7944,0.2,91.5408,44.6105,1.12,20.3584,21.136,0.01,157.5449,40.3793,0.37,0.0346,0.0357,0.0,18.5584,25.3311,0.01,0.0237,0.0221,0.0,43.88,44.6198,0.03,21.476,29.4726,0.02,0.2983,0.1961,0.0,0.2086,0.1635,0.0001,0.1997,0.082,0.0007,4.4296,11.0429,0.1082,3.6792,10.9631,-0.1616,5.9809,20.5517,-0.8079,5.7048,22.0622,-0.6329,0.0813,0.0989,0.0,0.0867,0.1104,0.0
"수영할때 어깨가 아프다면 꼭 봐야 할 영상 (자유형 편하게 하는 법, 자유형 이쁘게 하는 법).mp4",health,health,unknown,121.12,0.991,0.1686,0.515,0.708,132.3694,52.0053,2.45,129.0488,51.5734,0.69,85.3145,70.009,0.37,93.2026,64.5056,0.4,77.7615,51.048,2.31,35.1014,30.5106,0.03,108.8094,74.3694,0.25,0.0367,0.0254,0.0001,45.0006,33.7801,0.05,0.0213,0.0146,0.0,31.9196,34.9973,0.03,32.4505,41.2025,0.01,0.1419,0.1971,0.0001,0.0852,0.0944,0.0,0.0827,0.0519,0.0005,12.5614,34.1768,1.202,12.4757,33.2683,1.2045,16.4233,33.5061,0.6579,16.4616,35.7529,0.6886,0.0916,0.1025,0.0,0.0986,0.1207,0.0
운동이 아니라 독!？ 시니어를 위협하는 수영의 함정.mp4,health,health,unknown,315.67,0.801,0.1369,0.38,0.657,93.8911,65.2367,0.26,98.0454,65.2977,0.17,45.1719,41.0703,0.14,44.8147,41.6541,0.24,82.5608,41.7198,1.74,19.492,21.1606,0.02,142.2495,54.5885,0.28,0.0441,0.0382,0.0,18.6261,22.2814,0.01,0.0249,0.0209,0.0,33.4709,37.8803,0.03,17.7022,20.1559,0.01,0.4552,0.4403,0.0,0.3164,0.2538,0.0001,0.2404,0.161,0.0014,5.4453,13.1298,0.5453,4.6947,14.3948,-0.0329,5.9457,15.3994,-0.8428,5.8983,14.783,-1.61,0.166,0.2823,0.0,0.178,0.2981,0.0
의사가 중년에게 수영을 추천하는 이유 5가지.mp4,health,health,unknown,95.17,0.925,0.1645,0.451,0.68,82.8477,59.1702,0.4,93.2542,64.8497,0.27,53.5558,47.084,0.17,55.2317,47.7661,0.41,95.365,42.9576,2.16,19.9988,22.976,0.03,141.2546,56.9141,0.67,0.0571,0.0603,0.0,28.5176,30.3337,0.0,0.0342,0.0361,0.0001,33.3283,35.3518,0.05,24.6087,23.1343,0.17,0.5109,0.4975,0.0016,0.2616,0.2357,0.0005,0.23,0.1662,0.012,5.0998,5.8303,0.5701,4.3879,6.0168,-0.0227,4.9892,5.5195,-0.4551,5.1146,5.7664,0.046,0.2295,0.3307,0.0,0.2473,0.3489,0.0
"의사들이 극찬하는 수영의 놀라운 효과 8가지,  나이 들수록 더 좋은 이유.mp4",health,health,unknown,215.55,0.784,0.1402,0.44,0.633,95.5129,56.8566,0.19,100.6346,57.1077,0.36,41.2332,38.7603,0.3,44.5494,44.1532,0.2,76.5196,55.7935,1.36,33.0941,25.6402,0.03,141.6733,51.7779,0.05,0.0953,0.1026,0.0002,50.9651,33.3845,0.04,0.0559,0.0644,0.0,37.2064,36.3509,0.16,21.4671,24.8919,0.01,0.2967,0.3919,0.0002,0.1139,0.1389,0.0001,0.1788,0.1293,0.0017,6.6358,12.9699,-0.7219,6.3223,12.9455,-0.2086,7.0503,13.9445,-0.7083,7.0776,13.8447,-0.8439,0.1418,0.2597,0.0,0.1693,0.2841,0.0
